source model,new model,cameras,new feet,new fabric,new bead,comments,six_two_six
RA00001_02_NA_NA_F000_WU,RA00001_02_135540,50,,135540.jpg,not required,,102194_02
RA00001_04_OPEN_NA_F017_WU,RA00001_04_OPEN_135540_F017,62,Light.jpg,135540.jpg,not required,,100585_04_662570
RA00001_04_CLOSED_NA_F017_WU,RA00001_04_CLOSED_135540_F017,56+54+52+62,Light.jpg,135540.jpg,not required,,100585_04_662570
RA00002_08_OPEN_NA_F001_VA,RA00002_08_OPEN_115614_F001,62,Light.jpg,115614.jpg,not required,,123695_08_652765
RA00002_08_CLOSED_NA_F001_VA,RA00002_08_CLOSED_115614_F001,56+54+52+62,Light.jpg,115614.jpg,not required,,123695_08_652765
